1	1404	10003	4	8293
1	1403	10006	4	7790
1	1404	10002	4	7775
1	1403	10004	4	24093
1	1401	10001	4	7039
1	1404	10007	4	7724
1	1404	10001	4	7605
1	1405	10001	4	7415
1	1405	10006	4	7121
1	1404	10005	4	6110
1	1404	10003	4	7154
1	1403	10005	4	6699
1	1	12	3	5
1	1404	10002	4	5684
1	1404	10001	4	6569
1	1404	10006	4	5531
1	1404	10007	4	6498
1	1405	10001	4	6464
1	1403	10006	4	6098
1	1404	10005	4	5054
1	1405	10002	4	6073
1	1404	10004	4	5986
1	1404	10004	4	5945
1	1402	10003	4	5746
1	1405	10003	4	5835
1	1404	10005	4	4570
1	1405	10007	4	5690
1	1405	10003	4	5456
1	1404	10006	4	4461
1	1403	10001	4	5465
2	1	10	110	4
2	1	12	110	6
2	1	12	110	6
2	1	12	110	6
2	1	11	110	6
2	1	11	110	5
2	1	11	110	6
2	1	12	110	6
2	1	12	110	5
2	1	10	110	7
2	1	11	110	5
2	1	12	110	5
2	1	11	110	5
2	1	10	110	5
2	1401	10005	111	7893
2	1	12	110	5
2	1	10	110	5
2	1	11	110	6
2	1	11	110	5
2	1	11	110	4
2	1	10	110	6
2	1	11	110	5
2	1	12	110	5
2	1	11	110	5
2	1	12	110	6
2	1	10	110	6
2	1	11	110	6
2	1	11	110	4
2	1	10	110	5
2	1	11	110	6
1	1403	10004	4	12394
1	1404	10004	4	7988
1	1404	10005	4	7675
1	1403	10006	4	7671
1	1404	10001	4	7385
1	1404	10002	4	7144
1	1404	10005	4	6896
1	1405	10002	4	5970
1	1405	10007	4	6907
1	1404	10004	4	6562
1	1403	10001	4	5666
1	1	12	3	6
1	1404	10007	4	5544
1	1403	10001	4	6395
1	1404	10003	4	5317
1	1403	10003	4	6326
1	1403	10005	4	6183
1	1404	10001	4	5094
1	1404	10003	4	6085
1	1404	10006	4	4850
1	1405	10006	4	6118
1	1405	10002	4	5805
1	1403	10001	4	5620
1	1405	10004	4	5652
1	1404	10003	4	4566
1	1404	10002	4	5320
1	1405	10005	4	4542
1	1404	10002	4	4568
1	1404	10005	4	4340
1	1405	10003	4	5467
2	1	12	110	4
2	1	11	110	5
2	1	12	110	6
2	1	11	110	8
2	1	12	110	12
2	1	10	110	11
2	1	12	110	12
2	1	10	110	7
2	1	12	110	6
2	1	12	110	10
2	1	11	110	4
2	1	12	110	5
2	1	12	110	5
2	1	11	110	6
2	1	12	110	5
2	1	11	110	5
2	1	11	110	5
2	1	11	110	5
2	1	11	110	5
2	1	11	110	5
2	1	10	110	5
2	1	12	110	5
2	1	10	110	5
2	1	11	110	5
2	1	11	110	6
2	1	11	110	6
2	1	11	110	5
2	1	12	110	6
2	1	12	110	4
2	1	11	110	2
1	1404	10001	4	8247
1	1403	10005	4	7548
1	1406	10007	4	8113
1	1404	10005	4	7691
1	1403	10002	4	7407
1	1403	10006	4	7290
1	1404	10006	4	7100
1	1405	10006	4	7105
1	1405	10005	4	5843
1	1403	10001	4	5847
1	1406	10007	4	6626
1	1405	10004	4	6567
1	1406	10001	4	6483
1	1404	10001	4	6260
1	1404	10004	4	5845
1	1406	10007	4	6049
1	1404	10004	4	5936
1	1404	10006	4	5705
1	1407	10007	4	5758
1	1406	10005	4	4913
1	1402	10004	4	5509
1	1405	10004	4	5611
1	1404	10001	4	4395
1	1404	10002	4	5595
1	1405	10006	4	5524
1	1406	10007	4	4258
1	1404	10001	4	5263
1	1404	10002	4	5224
1	1404	10005	4	5329
1	1405	10006	4	5355
2	1	12	110	5
2	1	12	110	6
2	1	11	110	6
2	1	12	110	5
2	1410	10002	111	1617
2	1	12	110	6
2	1	11	110	6
2	1	11	110	3
2	1	12	110	5
2	1	12	110	5
2	1	11	110	5
2	1	11	110	5
2	1	10	110	5
2	1	12	110	5
2	1	10	110	5
2	1412	10007	111	1564
2	1	12	110	5
2	1	12	110	5
2	1	11	110	5
2	1	11	110	8
2	1	10	110	6
2	1	12	110	5
2	1	12	110	5
2	1	12	110	5
2	1	10	110	5
2	1	11	110	5
2	1	11	110	5
2	1	12	110	5
2	1	11	110	6
2	1410	10002	111	1568
3	1403	10005	16	6330
3	1403	10004	16	5713
3	1401	10003	16	6247
3	1402	10003	16	6321
3	1402	10006	16	6456
3	1403	10003	16	6318
3	1403	10007	16	5511
3	1402	10005	16	6446
3	1404	10001	16	6021
3	1403	10003	16	6316
3	1	10	15	7
3	1402	10007	16	5950
3	1401	10007	16	5459
3	1404	10007	16	5938
3	1403	10004	16	6058
3	1405	10007	16	6176
3	1404	10004	16	6624
3	1403	10001	16	5417
3	1404	10002	16	5382
3	1403	10006	16	5380
3	1404	10007	16	5396
3	1402	10006	16	5296
3	1404	10006	16	5336
3	1	12	15	8
3	1403	10004	16	5477
3	1403	10006	16	5877
3	1404	10003	16	5255
3	1403	10005	16	5819
3	1402	10005	16	5895
3	1401	10003	16	5923
4	1	12	283	21
4	1	10	283	21
4	1	11	283	17
4	1	11	283	27
4	1	11	283	30
4	1	10	283	20
4	1	12	283	20
4	1	11	283	21
4	1	10	283	21
4	1	12	283	22
4	1	11	283	20
4	1	11	283	21
4	1	12	283	20
4	1	11	283	20
4	1	10	283	21
4	1	11	283	21
4	1	10	283	10
4	1	12	283	8
4	1	12	283	20
4	1	11	283	29
4	1	10	283	21
4	1	12	283	21
4	1	11	283	23
4	1	10	283	20
4	1	11	283	20
4	1	11	283	21
4	1	10	283	20
4	1	11	283	20
4	1	11	283	21
4	1	10	283	22
5	1	12	126	32
5	1	12	126	31
5	1	11	126	32
5	1	11	126	32
5	1	11	126	31
5	1	10	126	31
5	1	12	126	31
5	1	11	126	40
5	1	11	126	32
5	1	10	126	32
5	1	11	126	32
5	1	11	126	31
5	1	12	126	31
5	1	10	126	31
5	1	11	126	32
5	1	11	126	31
5	1	11	126	31
5	1	12	126	46
5	1	11	126	34
5	1	12	126	33
5	1	12	126	33
5	1	11	126	33
5	1	12	126	34
5	1	12	126	33
5	1	10	126	32
5	1	11	126	35
5	1	11	126	31
5	1	12	126	32
5	1	12	126	31
5	1	11	126	33
6	1	12	702	55
6	1	12	702	120
6	1	12	702	109
6	1	12	702	115
6	1	11	702	111
6	1	11	702	108
6	1	12	702	115
6	1	10	702	110
6	1	11	702	116
6	1	12	702	108
6	1	11	702	83
6	1	12	702	54
6	1	12	702	111
6	1	10	702	110
6	1	11	702	59
6	1	12	702	109
6	1	11	702	114
6	1	12	702	110
1	1403	10005	4	7571
1	1403	10003	4	8125
1	1402	10002	4	7110
1	1405	10006	4	7254
1	1403	10004	4	7225
1	1404	10001	4	7920
1	1404	10002	4	6841
1	1404	10006	4	7537
1	1402	10001	4	7289
1	1403	10003	4	7155
1	1405	10006	4	7150
1	1402	10002	4	6410
1	1404	10001	4	6591
1	1403	10003	4	5924
1	1404	10004	4	6480
1	1405	10003	4	6492
1	1405	10006	4	6541
1	1405	10003	4	6059
1	1405	10007	4	6048
1	1405	10004	4	6008
1	1405	10007	4	5156
1	1403	10006	4	5012
1	1	12	3	6
1	1407	10005	4	5861
1	1404	10001	4	5747
1	1405	10006	4	4461
1	1405	10006	4	5520
1	1404	10001	4	5488
1	1404	10003	4	5358
1	1404	10001	4	5349
2	1406	10003	111	7393
2	1	11	110	6
2	1	12	110	5
2	1412	10002	111	7393
2	1	11	110	5
2	1	11	110	6
2	1	11	110	5
2	1	11	110	5
2	1	10	110	5
2	1	12	110	5
2	1	12	110	5
2	1	11	110	5
2	1	11	110	5
2	1	11	110	6
2	1	11	110	6
2	1	12	110	6
2	1402	10006	111	7572
2	1	12	110	5
2	1	11	110	5
2	1	12	110	5
2	1	11	110	5
2	1	11	110	6
2	1	11	110	5
2	1	12	110	5
2	1	12	110	5
2	1	12	110	5
2	1	12	110	5
2	1	11	110	7
2	1	11	110	4
2	1	10	110	6
3	1403	10004	16	6258
3	1403	10006	16	7117
3	1403	10007	16	6885
3	1403	10001	16	7497
3	1404	10007	16	6289
3	1402	10005	16	5984
3	1403	10007	16	6365
3	1403	10006	16	6806
3	1404	10005	16	8268
3	1403	10003	16	5941
3	1402	10005	16	7307
3	1403	10007	16	10643
3	1404	10006	16	6692
3	1402	10004	16	6792
3	1402	10001	16	8716
3	1401	10003	16	9391
3	1404	10004	16	6495
3	1403	10006	16	6772
3	1403	10003	16	5544
3	1	12	15	6
3	1403	10004	16	6943
3	1403	10002	16	5484
3	1	11	15	7
3	1401	10002	16	5543
3	1402	10006	16	5567
3	1403	10002	16	6608
3	1403	10007	16	5630
3	1	12	15	6
3	1404	10002	16	5504
3	1404	10002	16	5392
4	1	11	283	23
4	1	12	283	21
4	1	12	283	21
4	1	12	283	22
4	1	12	283	21
4	1	11	283	21
4	1	11	283	22
4	1	10	283	22
4	1	12	283	22
4	1	11	283	21
4	1	11	283	20
4	1	10	283	21
4	1	11	283	21
4	1	12	283	21
4	1	11	283	21
4	1	11	283	24
4	1	12	283	24
4	1	10	283	21
4	1	12	283	23
4	1	12	283	33
4	1	10	283	24
4	1	10	283	23
4	1	11	283	21
4	1	11	283	21
4	1	11	283	20
4	1	12	283	22
4	1	11	283	20
4	1	11	283	19
4	1	10	283	20
4	1	10	283	21
1	1403	10007	4	8282
1	1403	10002	4	7553
1	1404	10003	4	7823
1	1405	10005	4	7804
1	1405	10005	4	7589
1	1405	10007	4	7320
1	1403	10007	4	6372
1	1404	10002	4	7047
1	1405	10007	4	6938
1	1402	10002	4	5861
1	1404	10003	4	6678
1	1405	10002	4	6496
1	1404	10002	4	6502
1	1405	10004	4	6254
1	1	12	3	4
1	1402	10005	4	5108
1	1404	10004	4	5214
1	1404	10003	4	5249
1	1404	10005	4	5129
1	1403	10002	4	6153
1	1404	10007	4	5988
1	1404	10005	4	5888
1	1402	10004	4	4705
1	1403	10003	4	5797
1	1403	10003	4	4627
1	1402	10005	4	4695
1	1405	10002	4	5793
1	1404	10001	4	5633
1	1404	10006	4	5559
1	1405	10007	4	4356
2	1	11	110	4
2	1	12	110	6
2	1	10	110	5
2	1	11	110	6
2	1	11	110	5
2	1	11	110	4
2	1	11	110	5
2	1	12	110	6
2	1	11	110	5
2	1	11	110	5
2	1	12	110	5
2	1	12	110	4
2	1	11	110	6
2	1	12	110	6
2	1	10	110	6
2	1	12	110	5
2	1	12	110	6
2	1	11	110	5
2	1	10	110	4
2	1	12	110	5
2	1	10	110	5
2	1	10	110	5
2	1	10	110	5
2	1	11	110	5
2	1	12	110	5
2	1404	10005	111	7590
2	1	10	110	3
2	1	12	110	5
2	1	11	110	2
2	1	12	110	6
1	1404	10007	4	7704
1	1403	10007	4	7876
1	1402	10002	4	7665
1	1403	10003	4	8054
1	1404	10007	4	7908
1	1402	10003	4	7020
1	1404	10004	4	7951
1	1404	10002	4	7261
1	1404	10004	4	7445
1	1403	10001	4	7113
1	1404	10004	4	6276
1	1404	10002	4	6887
1	1403	10007	4	5931
1	1404	10005	4	6841
1	1403	10001	4	6213
1	1405	10007	4	6825
1	1405	10001	4	6481
1	1406	10006	4	6713
1	1403	10005	4	6214
1	1406	10002	4	6421
1	1404	10001	4	6037
1	1405	10004	4	4833
1	1404	10004	4	4810
1	1405	10006	4	5875
1	1404	10006	4	4618
1	1403	10004	4	5686
1	1404	10003	4	5517
1	1404	10002	4	5522
1	1404	10004	4	5524
1	1403	10001	4	5493
2	1	12	110	7
2	1	12	110	1
2	1	10	110	5
2	1	11	110	8
2	1	11	110	7
2	1	10	110	6
2	1	10	110	6
2	1	11	110	8
2	1	12	110	7
2	1	12	110	11
2	1	12	110	5
2	1	11	110	8
2	1	11	110	4
2	1	11	110	7
2	1	11	110	7
2	1	12	110	5
2	1	12	110	6
2	1	11	110	5
2	1	12	110	6
2	1	12	110	5
2	1	12	110	6
2	1	10	110	5
2	1	12	110	6
2	1	10	110	5
2	1	12	110	5
2	1	11	110	5
2	1	12	110	5
2	1	12	110	5
2	1	10	110	5
2	1	11	110	5
1	1405	10007	4	8517
1	1403	10001	4	8968
1	1403	10006	4	8050
1	1403	10002	4	8396
1	1404	10002	4	7719
1	1404	10001	4	7702
1	1403	10001	4	7379
1	1405	10001	4	7259
1	1406	10006	4	7193
1	1403	10001	4	6994
1	1405	10007	4	6461
1	1405	10005	4	6344
1	1406	10006	4	6482
1	1405	10006	4	6222
1	1403	10002	4	5921
1	1403	10003	4	5967
1	1405	10003	4	6139
1	1406	10002	4	5972
1	1404	10004	4	5752
1	1406	10006	4	5391
1	1404	10006	4	5490
1	1403	10001	4	5685
1	1405	10005	4	4508
1	1405	10005	4	5715
1	1404	10001	4	5512
1	1404	10006	4	4426
1	1404	10001	4	5469
1	1403	10002	4	5593
1	1404	10002	4	5603
1	1404	10007	4	4311
2	1	11	110	5
2	1	10	110	6
2	1	12	110	5
2	1	11	110	7
2	1409	10001	111	8203
2	1	11	110	6
2	1	12	110	5
2	1	12	110	6
2	1	12	110	6
2	1	10	110	4
2	1	10	110	6
2	1	10	110	4
2	1	11	110	7
2	1	12	110	6
2	1	12	110	6
2	1	10	110	4
2	1	12	110	5
2	1	10	110	7
2	1	10	110	5
2	1	12	110	6
2	1	11	110	5
2	1	12	110	6
2	1	11	110	5
2	1	12	110	7
2	1	11	110	6
2	1	11	110	5
2	1	12	110	5
2	1	10	110	6
2	1	11	110	3
2	1	12	110	6
3	1	11	15	6
3	1	12	15	7
3	1	12	15	7
3	1402	10004	16	7667
3	1402	10007	16	6290
3	1403	10005	16	26571
3	1	12	15	10
3	1	12	15	8
3	1402	10002	16	7755
3	1402	10004	16	5673
3	1	10	15	5
3	1403	10005	16	6610
3	1403	10004	16	6685
3	1401	10001	16	7487
3	1404	10005	16	6867
3	1402	10005	16	7543
3	1401	10005	16	6472
3	1403	10007	16	5593
3	1402	10006	16	5578
3	1402	10005	16	5777
3	1402	10003	16	7005
3	1402	10001	16	7119
3	1403	10004	16	6523
3	1403	10005	16	6072
3	1403	10005	16	6765
3	1402	10003	16	5390
3	1	12	15	6
3	1401	10002	16	9742
3	1402	10004	16	5461
3	1403	10003	16	6761
4	1	12	283	20
4	1	12	283	20
4	1	11	283	21
4	1	11	283	22
4	1	12	283	20
4	1	11	283	17
4	1	11	283	20
4	1	10	283	31
4	1	11	283	20
4	1	11	283	21
4	1	11	283	21
4	1	10	283	20
4	1	12	283	20
4	1	12	283	21
4	1	12	283	28
4	1	11	283	18
4	1	12	283	21
4	1	12	283	20
4	1	12	283	23
4	1	11	283	21
4	1	11	283	20
4	1	12	283	20
4	1	11	283	21
4	1	11	283	20
4	1	11	283	20
4	1	11	283	13
4	1	11	283	20
4	1	12	283	21
4	1	10	283	21
4	1	10	283	20
1	1631	10002	4	9890
1	1634	10005	4	11588
1	1633	10004	4	9935
1	1634	10002	4	9336
1	1635	10005	4	9387
1	1635	10004	4	9907
1	1632	10001	4	8026
1	1633	10006	4	8883
1	1634	10005	4	9261
1	1634	10004	4	8932
1	1633	10002	4	8575
1	1634	10004	4	7051
1	1634	10004	4	8575
1	1634	10003	4	7168
1	1634	10004	4	8338
1	1633	10001	4	8433
1	1635	10003	4	6781
1	1633	10004	4	6683
1	1633	10006	4	6599
1	1633	10002	4	8173
1	1634	10006	4	7926
1	1633	10002	4	7331
1	1634	10004	4	6283
1	1634	10004	4	7859
1	1634	10003	4	7783
1	1634	10004	4	7467
1	1635	10005	4	7774
1	1634	10002	4	7511
1	1634	10006	4	6714
1	1634	10004	4	9394
2	1	12	110	5
2	1641	10002	111	10446
2	1	10	110	8
2	1	11	110	7
2	1	11	110	5
2	1	10	110	6
2	1638	10002	111	10071
