1	4.76619
11	5.09994
21	5.09994
31	5.09994
41	5.09994
51	5.09994
61	5.09994
71	5.09994
81	5.09994
91	5.09994
101	5.09994
111	5.09994
121	5.09994
131	5.09994
141	5.09994
151	5.09994
161	5.09994
171	5.09994
181	5.09994
191	5.09994
201	5.09994
211	5.09994
221	5.09994
231	5.09994
241	5.09994
251	5.09994
261	5.09994
271	5.09994
281	5.09994
291	5.09994
301	5.09994
311	5.09994
321	5.09994
331	5.09994
341	5.09994
351	5.09994
361	5.09994
371	5.09994
381	5.09994
391	5.09994
401	5.09994
411	5.09994
421	5.09994
431	5.09994
441	5.09994
451	5.09994
461	5.09994
471	5.09994
481	5.09994
491	5.09994
501	5.09994
511	5.09994
521	5.09994
531	5.09994
541	5.09994
551	5.09994
561	5.09994
571	5.09994
581	5.09994
591	5.09994
601	5.09994
611	5.09994
621	5.09994
631	5.09994
641	5.09994
651	5.09994
661	5.09994
671	5.09994
681	5.09994
691	5.09994
701	5.09994
711	5.09994
721	5.09994
731	5.09994
741	5.09994
751	5.09994
761	5.09994
771	5.09994
781	5.09994
791	5.09994
801	5.09994
811	5.09994
821	5.09994
831	5.09994
841	5.09994
851	5.09994
861	5.09994
871	5.09994
881	5.09994
891	5.09994
901	5.09994
911	5.09994
921	5.09994
931	5.09994
941	5.09994
951	5.09994
961	5.09994
971	5.09994
981	5.09994
991	5.09994
1001	5.09994
1011	5.09994
1021	5.09994
1031	5.09994
1041	5.09994
1051	5.09994
1061	5.09994
1071	5.09994
1081	5.09994
1091	5.09994
1101	5.09994
1111	5.09994
1121	5.09994
1131	5.09994
1141	5.09994
1151	5.09994
1161	5.09994
1171	5.09994
1181	5.09994
1191	5.09994
1201	5.09994
1211	5.09994
1221	5.09994
1231	5.09994
1241	5.09994
1251	5.09994
1261	5.09994
1271	5.09994
1281	5.09994
1291	5.09994
1301	5.09994
1311	5.09994
1321	5.09994
1331	5.09994
1341	5.09994
1351	5.09994
1361	5.09994
1371	5.09994
1381	5.09994
1391	5.09994
1401	5.09994
1411	5.09994
1421	5.09994
1431	5.09994
1441	5.09994
1451	5.09994
1461	5.09994
1471	5.09994
1481	5.09994
1491	5.09994
1501	5.09994
1511	5.09994
1521	5.09994
1531	5.09994
1541	5.09994
1551	5.09994
1561	5.09994
1571	5.09994
1581	5.09994
1591	5.09994
1601	5.09994
1611	5.09994
1621	5.09994
1631	5.09994
1641	5.09994
1651	5.09994
1661	5.09994
1671	5.09994
1681	5.09994
1691	5.09994
1701	5.09994
1711	5.09994
1721	5.09994
1731	5.09994
1741	5.09994
1751	5.09994
1761	5.09994
1771	5.09994
1781	5.09994
1791	5.09994
1801	5.09994
1811	5.09994
1821	5.09994
1831	5.09994
1841	5.09994
1851	5.09994
1861	5.09994
1871	5.09994
1881	5.09994
1891	5.09994
1901	5.09994
1911	5.09994
1921	5.09994
1931	5.09994
1941	5.09994
1951	5.09994
1961	5.09994
1971	5.09994
1981	5.09994
1991	5.09994
2001	5.09994
2011	5.09994
2021	5.09994
2031	5.09994
2041	5.09994
2051	5.09994
2061	5.09994
2071	5.09994
2081	5.09994
2091	5.09994
2101	5.09994
2111	5.09994
2121	5.09994
2131	5.09994
2141	5.09994
2151	5.09994
2161	5.09994
2171	5.09994
2181	5.09994
2191	5.09994
2201	5.09994
2211	5.09994
2221	5.09994
2231	5.09994
2241	5.09994
2251	5.09994
2261	5.09994
2271	5.09994
2281	5.09994
2291	5.09994
2301	5.09994
2311	5.09994
2321	5.09994
2331	5.09994
2341	5.09994
2351	5.09994
2361	5.09994
2371	5.09994
2381	5.09994
2391	5.09994
2401	5.09994
2411	5.09994
2421	5.09994
2431	5.09994
2441	5.09994
2451	5.09994
2461	5.09994
2471	5.09994
2481	5.09994
2491	5.09994
2501	5.09994
2511	5.09994
2521	5.09994
2531	5.09994
2541	5.09994
2551	5.09994
2561	5.09994
2571	5.09994
2581	5.09994
2591	5.09994
2601	5.09994
2611	5.09994
2621	5.09994
2631	5.09994
2641	5.09994
2651	5.09994
2661	5.09994
2671	5.09994
2681	5.09994
2691	5.09994
2701	5.09994
2711	5.09994
2721	5.09994
2731	5.09994
2741	5.09994
2751	5.09994
2761	5.09994
2771	5.09994
2781	5.09994
2791	5.09994
2801	5.09994
2811	5.09994
2821	5.09994
2831	5.09994
2841	5.09994
2851	5.09994
2861	5.09994
2871	5.09994
2881	5.09994
2891	5.09994
2901	5.09994
2911	5.09994
2921	5.09994
2931	5.09994
2941	5.09994
2951	5.09994
2961	5.09994
2971	5.09994
2981	5.09994
2991	5.09994
3001	5.09994
3011	5.09994
3021	5.09994
3031	5.09994
3041	5.09994
3051	5.09994
3061	5.09994
3071	5.09994
3081	5.09994
3091	5.09994
3101	5.09994
3111	5.09994
3121	5.09994
3131	5.09994
3141	5.09994
3151	5.09994
3161	5.09994
3171	5.09994
3181	5.09994
3191	5.09994
3201	5.09994
3211	5.09994
3221	5.09994
3231	5.09994
3241	5.09994
3251	5.09994
3261	5.09994
3271	5.09994
3281	5.09994
3291	5.09994
3301	5.09994
3311	5.09994
3321	5.09994
3331	5.09994
3341	5.09994
3351	5.09994
3361	5.09994
3371	5.09994
3381	5.09994
3391	5.09994
3401	5.09994
3411	5.09994
3421	5.09994
3431	5.09994
3441	5.09994
3451	5.09994
3461	5.09994
3471	5.09994
3481	5.09994
3491	5.09994
3501	5.09994
3511	5.09994
3521	5.09994
3531	5.09994
3541	5.09994
3551	5.09994
3561	5.09994
3571	5.09994
3581	5.09994
3591	5.09994
3601	5.09994
3611	5.09994
3621	5.09994
3631	5.09994
3641	5.09994
3651	5.09994
3661	5.09994
3671	5.09994
3681	5.09994
3691	5.09994
3701	5.09994
3711	5.09994
3721	5.09994
3731	5.09994
3741	5.09994
3751	5.09994
3761	5.09994
3771	5.09994
3781	5.09994
3791	5.09994
3801	5.09994
3811	5.09994
3821	5.09994
3831	5.09994
3841	5.09994
3851	5.09994
3861	5.09994
3871	5.09994
3881	5.09994
3891	5.09994
3901	5.09994
3911	5.09994
3921	5.09994
3931	5.09994
3941	5.09994
3951	5.09994
3961	5.09994
3971	5.09994
3981	5.09994
3991	5.09994
4001	5.09994
4011	5.09994
4021	5.09994
4031	5.09994
4041	5.09994
4051	5.09994
4061	5.09994
4071	5.09994
4081	5.09994
4091	5.09994
4101	5.09994
4111	5.09994
4121	5.09994
4131	5.09994
4141	5.09994
4151	5.09994
4161	5.09994
4171	5.09994
4181	5.09994
4191	5.09994
4201	5.09994
4211	5.09994
4221	5.09994
4231	5.09994
4241	5.09994
4251	5.09994
4261	5.09994
4271	5.09994
4281	5.09994
4291	5.09994
4301	5.09994
4311	5.09994
4321	5.09994
4331	5.09994
4341	5.09994
4351	5.09994
4361	5.09994
4371	5.09994
4381	5.09994
4391	5.09994
4401	5.09994
4411	5.09994
4421	5.09994
4431	5.09994
4441	5.09994
4451	5.09994
4461	5.09994
4471	5.09994
4481	5.09994
4491	5.09994
4501	5.09994
4511	5.09994
4521	5.09994
4531	5.09994
4541	5.09994
4551	5.09994
4561	5.09994
4571	5.09994
4581	5.09994
4591	5.09994
4601	5.09994
4611	5.09994
4621	5.09994
4631	5.09994
4641	5.09994
4651	5.09994
4661	5.09994
4671	5.09994
4681	5.09994
4691	5.09994
4701	5.09994
4711	5.09994
4721	5.09994
4731	5.09994
4741	5.09994
4751	5.09994
4761	5.09994
4771	5.09994
4781	5.09994
4791	5.09994
4801	5.09994
4811	5.09994
4821	5.09994
4831	5.09994
4841	5.09994
4851	5.09994
4861	5.09994
4871	5.09994
4881	5.09994
4891	5.09994
4901	5.09994
4911	5.09994
4921	5.09994
4931	5.09994
4941	5.09994
4951	5.09994
4961	5.09994
4971	5.09994
4981	5.09994
4991	5.09994
5001	5.09994
5011	5.09994
5021	5.09994
5031	5.09994
5041	5.09994
5051	5.09994
5061	5.09994
5071	5.09994
5081	5.09994
5091	5.09994
5101	5.09994
5111	5.09994
5121	5.09994
5131	5.09994
5141	5.09994
5151	5.09994
5161	5.09994
5171	5.09994
5181	5.09994
5191	5.09994
5201	5.09994
5211	5.09994
5221	5.09994
5231	5.09994
5241	5.09994
5251	5.09994
5261	5.09994
5271	5.09994
5281	5.09994
5291	5.09994
5301	5.09994
5311	5.09994
5321	5.09994
5331	5.09994
5341	5.09994
5351	5.09994
5361	5.09994
5371	5.09994
5381	5.09994
5391	5.09994
5401	5.09994
5411	5.09994
5421	5.09994
5431	5.09994
5441	5.09994
5451	5.09994
5461	5.09994
5471	5.09994
5481	5.09994
5491	5.09994
5501	5.09994
5511	5.09994
5521	5.09994
5531	5.09994
5541	5.09994
5551	5.09994
5561	5.09994
5571	5.09994
5581	5.09994
5591	5.09994
5601	5.09994
5611	5.09994
5621	5.09994
5631	5.09994
5641	5.09994
5651	5.09994
5661	5.09994
5671	5.09994
5681	5.09994
5691	5.09994
5701	5.09994
5711	5.09994
5721	5.09994
5731	5.09994
5741	5.09994
5751	5.09994
5761	5.09994
5771	5.09994
5781	5.09994
5791	5.09994
5801	5.09994
5811	5.09994
5821	5.09994
5831	5.09994
5841	5.09994
5851	5.09994
5861	5.09994
5871	5.09994
5881	5.09994
5891	5.09994
5901	5.09994
5911	5.09994
5921	5.09994
5931	5.09994
5941	5.09994
5951	5.09994
5961	5.09994
5971	5.09994
5981	5.09994
5991	5.09994
6001	5.09994
6011	5.09994
6021	5.09994
6031	5.09994
6041	5.09994
6051	5.09994
6061	5.09994
6071	5.09994
6081	5.09994
6091	5.09994
6101	5.09994
6111	5.09994
6121	5.09994
6131	5.09994
6141	5.09994
6151	5.09994
6161	5.09994
6171	5.09994
6181	5.09994
6191	5.09994
6201	5.09994
6211	5.09994
6221	5.09994
6231	5.09994
6241	5.09994
6251	5.09994
6261	5.09994
6271	5.09994
6281	5.09994
6291	5.09994
6301	5.09994
6311	5.09994
6321	5.09994
6331	5.09994
6341	5.09994
6351	5.09994
6361	5.09994
6371	5.09994
6381	5.09994
6391	5.09994
6401	5.09994
6411	5.09994
6421	5.09994
6431	5.09994
6441	5.09994
6451	5.09994
6461	5.09994
6471	5.09994
6481	5.09994
6491	5.09994
6501	5.09994
6511	5.09994
6521	5.09994
6531	5.09994
6541	5.09994
6551	5.09994
6561	5.09994
6571	5.09994
6581	5.09994
6591	5.09994
6601	5.09994
6611	5.09994
6621	5.09994
6631	5.09994
6641	5.09994
6651	5.09994
6661	5.09994
6671	5.09994
6681	5.09994
6691	5.09994
6701	5.09994
6711	5.09994
6721	5.09994
6731	5.09994
6741	5.09994
6751	5.09994
6761	5.09994
6771	5.09994
6781	5.09994
6791	5.09994
6801	5.09994
6811	5.09994
6821	5.09994
6831	5.09994
6841	5.09994
6851	5.09994
6861	5.09994
6871	5.09994
6881	5.09994
6891	5.09994
6901	5.09994
6911	5.09994
6921	5.09994
6931	5.09994
6941	5.09994
6951	5.09994
6961	5.09994
6971	5.09994
6981	5.09994
6991	5.09994
7001	5.09994
7011	5.09994
7021	5.09994
7031	5.09994
7041	5.09994
7051	5.09994
7061	5.09994
7071	5.09994
7081	5.09994
7091	5.09994
7101	5.09994
7111	5.09994
7121	5.09994
7131	5.09994
7141	5.09994
7151	5.09994
7161	5.09994
7171	5.09994
7181	5.09994
7191	5.09994
7201	5.09994
7211	5.09994
7221	5.09994
7231	5.09994
7241	5.09994
7251	5.09994
7261	5.09994
7271	5.09994
7281	5.09994
7291	5.09994
7301	5.09994
7311	5.09994
7321	5.09994
7331	5.09994
7341	5.09994
7351	5.09994
7361	5.09994
7371	5.09994
7381	5.09994
7391	5.09994
7401	5.09994
7411	5.09994
7421	5.09994
7431	5.09994
7441	5.09994
7451	5.09994
7461	5.09994
7471	5.09994
7481	5.09994
7491	5.09994
7501	5.09994
7511	5.09994
7521	5.09994
7531	5.09994
7541	5.09994
7551	5.09994
7561	5.09994
7571	5.09994
7581	5.09994
7591	5.09994
7601	5.09994
7611	5.09994
7621	5.09994
7631	5.09994
7641	5.09994
7651	5.09994
7661	5.09994
7671	5.09994
7681	5.09994
7691	5.09994
7701	5.09994
7711	5.09994
7721	5.09994
7731	5.09994
7741	5.09994
7751	5.09994
7761	5.09994
7771	5.09994
7781	5.09994
7791	5.09994
7801	5.09994
7811	5.09994
7821	5.09994
7831	5.09994
7841	5.09994
7851	5.09994
7861	5.09994
7871	5.09994
7881	5.09994
7891	5.09994
7901	5.09994
7911	5.09994
7921	5.09994
7931	5.09994
7941	5.09994
7951	5.09994
7961	5.09994
7971	5.09994
7981	5.09994
7991	5.09994
8001	5.09994
8011	5.09994
8021	5.09994
8031	5.09994
8041	5.09994
8051	5.09994
8061	5.09994
8071	5.09994
8081	5.09994
8091	5.09994
8101	5.09994
8111	5.09994
8121	5.09994
8131	5.09994
8141	5.09994
8151	5.09994
8161	5.09994
8171	5.09994
8181	5.09994
8191	5.09994
8201	5.09994
8211	5.09994
8221	5.09994
8231	5.09994
8241	5.09994
8251	5.09994
8261	5.09994
8271	5.09994
8281	5.09994
8291	5.09994
8301	5.09994
8311	5.09994
8321	5.09994
8331	5.09994
8341	5.09994
8351	5.09994
8361	5.09994
8371	5.09994
8381	5.09994
8391	5.09994
8401	5.09994
8411	5.09994
8421	5.09994
8431	5.09994
8441	5.09994
8451	5.09994
8461	5.09994
8471	5.09994
8481	5.09994
8491	5.09994
8501	5.09994
8511	5.09994
8521	5.09994
8531	5.09994
8541	5.09994
8551	5.09994
8561	5.09994
8571	5.09994
8581	5.09994
8591	5.09994
8601	5.09994
8611	5.09994
8621	5.09994
8631	5.09994
8641	5.09994
8651	5.09994
8661	5.09994
8671	5.09994
8681	5.09994
8691	5.09994
8701	5.09994
8711	5.09994
8721	5.09994
8731	5.09994
8741	5.09994
8751	5.09994
8761	5.09994
8771	5.09994
8781	5.09994
